SLA_mean,height_mean,flowering_start 1-4,flowering_start 5-6,flowering_start 7-9,flowering duration,1000 S,"LF_Ph (MM, M)",LF_N,LF_Ch,LF_H,LF_G,LF_Th,LF_TH,LF_E,seed disp._AN,seed disp._RW,seed disp._AU,seed disp._ZO,pollination_INS,pollination_WIND,pollination_SELF,reprod_gen,reprod_veg
20.196,1250,1,0,0,2,48.0817,1,,,,,,,,1,,,,,1,,0.5,0.5
,,,,,,,1,,,,,,,,1,,,,,,,,
16.18,25,0,1,0,3,0.075,,,,1,,,,,,,,1,1,,,0.5,0.5
10.9935,45,0,1,0,4,0.1213,,,,1,,,,,,,,1,1,,,0.5,0.5
15.446,20,0,1,0,3,0.2227,,,,,,0.5,0.5,,0.5,,,0.5,1,,,1,
17.482,1350,0,1,0,2,28.2737,1,,,,,,,,1,,,,1,,,0.5,0.5
25.454,20,1,0,0,3,1.267,,,0.5,0.5,,,,,,,,1,1,,,0.5,0.5
12.839,15,1,0,0,2,2.99,,,,1,,,,,,,,1,1,,,1,
64.655,55,1,0,0,3,2.894,,,,0.5,,,0.5,,,,,1,1,,,1,
11.169,60,0,0,1,2,1.5,,,,,1,,,,,,,1,1,,,0.33,0.67
4.797,50,0,1,0,3,1.5,,,,,1,,,,,,,1,1,,,1,
58.524,57.5,0,1,0,2,1.2315,,,,,1,,,,,,,1,1,,,0.33,0.67
11.1595,55,0,1,0,3,0.964,,,,,1,,,,,,,1,0.5,,0.5,1,
13.428,15,1,0,0,2,0.6427,,,1,,,,,,1,,,,1,,,1,
13.8275,22.5,1,0,0,3,0.1823,,,1,,,,,,1,,,,1,,,1,
29.73166667,100,0,0,1,4,5.656,,,,,,1,,,,,,1,,1,,1,
13.264,200,0,1,0,3,13.5397,1,,,,,,,,,,,1,0.5,,0.5,1,
16.629,50,0,1,0,5,4.0025,,,,0.5,,,0.5,,,,,1,1,,,1,
23.3105,30,0,1,0,3,0.154,,,,,,1,,,0.5,,,0.5,1,,,1,
38.2165,45,1,0,0,2,2.7013,,,,,,1,,,,,,1,1,,,1,
31.779,22.5,1,0,0,3,0.0207,,,,,,0.5,0.5,,0.5,,,0.5,1,,,1,
